player,best_of,winPct,matches
Abedallah Shelbayh,Non-Grand Slam,0.25,8
Abedallah Shelbayh,Grand Slam,0.3333333333333333,3
Adrian Mannarino,Non-Grand Slam,0.6610169491525424,59
Adrian Mannarino,Grand Slam,0.5,8
Albert Ramos,Non-Grand Slam,0.35294117647058826,34
Albert Ramos,Grand Slam,0,4
Alejandro Davidovich Fokina,Non-Grand Slam,0.5208333333333334,48
Alejandro Davidovich Fokina,Grand Slam,0.6363636363636364,11
Aleksandar Kovacevic,Non-Grand Slam,0.2727272727272727,11
Aleksandar Kovacevic,Grand Slam,0,1
Aleksandar Vukic,Non-Grand Slam,0.4166666666666667,24
Aleksandar Vukic,Grand Slam,0.25,4
Alex De Minaur,Non-Grand Slam,0.6451612903225806,62
Alex De Minaur,Grand Slam,0.6666666666666666,12
Alex Michelsen,Non-Grand Slam,0.6,10
Alex Michelsen,Grand Slam,0.2,5
Alex Molcan,Non-Grand Slam,0.5,28
Alex Molcan,Grand Slam,0.3333333333333333,6
Alexander Bublik,Non-Grand Slam,0.4666666666666667,45
Alexander Bublik,Grand Slam,0.42857142857142855,7
Alexander Shevchenko,Non-Grand Slam,0.5172413793103449,29
Alexander Shevchenko,Grand Slam,0.25,4
Alexander Zverev,Non-Grand Slam,0.6515151515151515,66
Alexander Zverev,Grand Slam,0.75,16
Alexandre Muller,Non-Grand Slam,0.42105263157894735,19
Alexandre Muller,Grand Slam,0.25,4
Alexei Popyrin,Non-Grand Slam,0.5365853658536586,41
Alexei Popyrin,Grand Slam,0.3333333333333333,6
Andrey Rublev,Non-Grand Slam,0.6666666666666666,63
Andrey Rublev,Grand Slam,0.7777777777777778,18
Andy Murray,Non-Grand Slam,0.4444444444444444,27
Andy Murray,Grand Slam,0.5714285714285714,7
Arthur Fils,Non-Grand Slam,0.6060606060606061,33
Arthur Fils,Grand Slam,0.5555555555555556,9
Arthur Rinderknech,Non-Grand Slam,0.35714285714285715,28
Arthur Rinderknech,Grand Slam,0.42857142857142855,7
Aslan Karatsev,Non-Grand Slam,0.5454545454545454,33
Aslan Karatsev,Grand Slam,0.5,8
Ben Shelton,Non-Grand Slam,0.42857142857142855,35
Ben Shelton,Grand Slam,0.7142857142857143,14
Benjamin Bonzi,Non-Grand Slam,0.44,25
Benjamin Bonzi,Grand Slam,0.5714285714285714,7
Bernabe Zapata Miralles,Non-Grand Slam,0.4473684210526316,38
Bernabe Zapata Miralles,Grand Slam,0.2,5
Borna Coric,Non-Grand Slam,0.5714285714285714,35
Borna Coric,Grand Slam,0.3333333333333333,6
Borna Gojo,Non-Grand Slam,0.5625,16
Borna Gojo,Grand Slam,0.6,5
Botic Van De Zandschulp,Non-Grand Slam,0.4878048780487805,41
Botic Van De Zandschulp,Grand Slam,0.42857142857142855,7
Brandon Nakashima,Non-Grand Slam,0.4482758620689655,29
Brandon Nakashima,Grand Slam,0,4
Cameron Norrie,Non-Grand Slam,0.58,50
Cameron Norrie,Grand Slam,0.6363636363636364,11
Carlos Alcaraz,Non-Grand Slam,0.8275862068965517,58
Carlos Alcaraz,Grand Slam,0.8947368421052632,19
Casper Ruud,Non-Grand Slam,0.5869565217391305,46
Casper Ruud,Grand Slam,0.6923076923076923,13
Christopher Eubanks,Non-Grand Slam,0.4838709677419355,31
Christopher Eubanks,Grand Slam,0.6,10
Christopher Oconnell,Non-Grand Slam,0.45714285714285713,35
Christopher Oconnell,Grand Slam,0.42857142857142855,7
Constant Lestienne,Non-Grand Slam,0.23809523809523808,21
Constant Lestienne,Grand Slam,0.2,5
Corentin Moutet,Non-Grand Slam,0.23529411764705882,17
Corentin Moutet,Grand Slam,0.42857142857142855,7
Cristian Garin,Non-Grand Slam,0.5526315789473685,38
Cristian Garin,Grand Slam,0,1
Daniel Altmaier,Non-Grand Slam,0.3870967741935484,31
Daniel Altmaier,Grand Slam,0.42857142857142855,7
Daniel Elahi Galan,Non-Grand Slam,0.25,24
Daniel Elahi Galan,Grand Slam,0.42857142857142855,7
Daniel Evans,Non-Grand Slam,0.3888888888888889,36
Daniel Evans,Grand Slam,0.5,8
Daniil Medvedev,Non-Grand Slam,0.7941176470588235,68
Daniil Medvedev,Grand Slam,0.7647058823529411,17
David Goffin,Non-Grand Slam,0.38095238095238093,21
David Goffin,Grand Slam,0.5,4
Denis Shapovalov,Non-Grand Slam,0.375,16
Denis Shapovalov,Grand Slam,0.7,10
Diego Schwartzman,Non-Grand Slam,0.3,30
Diego Schwartzman,Grand Slam,0.5,8
Dominic Stricker,Non-Grand Slam,0.375,8
Dominic Stricker,Grand Slam,0.45454545454545453,11
Dominic Thiem,Non-Grand Slam,0.47368421052631576,38
Dominic Thiem,Grand Slam,0.2,5
Dominik Koepfer,Non-Grand Slam,0.6363636363636364,11
Dominik Koepfer,Grand Slam,0,2
Dusan Lajovic,Non-Grand Slam,0.5581395348837209,43
Dusan Lajovic,Grand Slam,0,4
Elias Ymer,Non-Grand Slam,0.3125,16
Elias Ymer,Grand Slam,0,1
Emil Ruusuvuori,Non-Grand Slam,0.5217391304347826,46
Emil Ruusuvuori,Grand Slam,0.4,5
Emilio Gomez,Non-Grand Slam,0.4166666666666667,12
Fabian Marozsan,Non-Grand Slam,0.625,16
Fabian Marozsan,Grand Slam,0.3333333333333333,3
Fabio Fognini,Non-Grand Slam,0.3888888888888889,18
Fabio Fognini,Grand Slam,0.5,4
Facundo Bagnis,Non-Grand Slam,0.18181818181818182,11
Facundo Bagnis,Grand Slam,0,1
Federico Coria,Non-Grand Slam,0.4117647058823529,17
Federico Coria,Grand Slam,0,3
Felix Auger Aliassime,Non-Grand Slam,0.5428571428571428,35
Felix Auger Aliassime,Grand Slam,0.42857142857142855,7
Filip Krajinovic,Non-Grand Slam,0.23076923076923078,13
Filip Krajinovic,Grand Slam,0,2
Flavio Cobolli,Non-Grand Slam,0.5,8
Flavio Cobolli,Grand Slam,0.25,4
Frances Tiafoe,Non-Grand Slam,0.6304347826086957,46
Frances Tiafoe,Grand Slam,0.7142857142857143,14
Francisco Cerundolo,Non-Grand Slam,0.5849056603773585,53
Francisco Cerundolo,Grand Slam,0.6363636363636364,11
Gael Monfils,Non-Grand Slam,0.5652173913043478,23
Gael Monfils,Grand Slam,0.5,4
Gijs Brouwer,Non-Grand Slam,0.5,16
Gijs Brouwer,Grand Slam,0,1
Gregoire Barrere,Non-Grand Slam,0.5,40
Gregoire Barrere,Grand Slam,0.2,5
Grigor Dimitrov,Non-Grand Slam,0.64,50
Grigor Dimitrov,Grand Slam,0.7142857142857143,14
Guido Pella,Non-Grand Slam,0.4,15
Guido Pella,Grand Slam,0.42857142857142855,7
Hamad Medjedovic,Non-Grand Slam,0.5833333333333334,12
Hamad Medjedovic,Grand Slam,0.7142857142857143,7
Holger Rune,Non-Grand Slam,0.6363636363636364,55
Holger Rune,Grand Slam,0.7333333333333333,15
Hubert Hurkacz,Non-Grand Slam,0.6545454545454545,55
Hubert Hurkacz,Grand Slam,0.6923076923076923,13
Hugo Dellien,Non-Grand Slam,0.38461538461538464,13
Hugo Dellien,Grand Slam,0,4
Hugo Gaston,Non-Grand Slam,0.36363636363636365,11
Hugo Gaston,Grand Slam,0.3333333333333333,3
Ilya Ivashka,Non-Grand Slam,0.36363636363636365,22
Ilya Ivashka,Grand Slam,0.2,5
J J Wolf,Non-Grand Slam,0.5116279069767442,43
J J Wolf,Grand Slam,0.5,8
Jack Draper,Non-Grand Slam,0.64,25
Jack Draper,Grand Slam,0.5,6
Jan Lennard Struff,Non-Grand Slam,0.5714285714285714,35
Jan Lennard Struff,Grand Slam,0,2
Jannik Sinner,Non-Grand Slam,0.7941176470588235,68
Jannik Sinner,Grand Slam,0.75,16
Jason Kubler,Non-Grand Slam,0.47619047619047616,21
Jason Kubler,Grand Slam,0.42857142857142855,7
Jaume Munar,Non-Grand Slam,0.4666666666666667,30
Jaume Munar,Grand Slam,0.25,4
Jiri Lehecka,Non-Grand Slam,0.5510204081632653,49
Jiri Lehecka,Grand Slam,0.6666666666666666,12
Joao Sousa,Non-Grand Slam,0.3333333333333333,12
Joao Sousa,Grand Slam,0,1
John Isner,Non-Grand Slam,0.4444444444444444,18
John Isner,Grand Slam,0.2,5
Jordan Thompson,Non-Grand Slam,0.4864864864864865,37
Jordan Thompson,Grand Slam,0.2,5
Juan Manuel Cerundolo,Non-Grand Slam,0.4,15
Juan Manuel Cerundolo,Grand Slam,0.3333333333333333,3
Juan Pablo Varillas,Non-Grand Slam,0.4482758620689655,29
Juan Pablo Varillas,Grand Slam,0.5,8
Juncheng Shang,Non-Grand Slam,0.3333333333333333,9
Juncheng Shang,Grand Slam,0.3333333333333333,3
Jurij Rodionov,Non-Grand Slam,0.45454545454545453,11
Jurij Rodionov,Grand Slam,0,1
Karen Khachanov,Non-Grand Slam,0.625,40
Karen Khachanov,Grand Slam,0.75,12
Laslo Djere,Non-Grand Slam,0.5849056603773585,53
Laslo Djere,Grand Slam,0.5555555555555556,9
Liam Broady,Non-Grand Slam,0.4,10
Liam Broady,Grand Slam,0.6666666666666666,3
Lloyd Harris,Non-Grand Slam,0.38461538461538464,13
Lloyd Harris,Grand Slam,0.3333333333333333,6
Lorenzo Musetti,Non-Grand Slam,0.5283018867924528,53
Lorenzo Musetti,Grand Slam,0.5555555555555556,9
Lorenzo Sonego,Non-Grand Slam,0.4897959183673469,49
Lorenzo Sonego,Grand Slam,0.5555555555555556,9
Luca Van Assche,Non-Grand Slam,0.4090909090909091,22
Luca Van Assche,Grand Slam,0.3333333333333333,9
Mackenzie Mcdonald,Non-Grand Slam,0.5555555555555556,54
Mackenzie Mcdonald,Grand Slam,0.42857142857142855,7
Marc Andrea Huesler,Non-Grand Slam,0.3548387096774194,31
Marc Andrea Huesler,Grand Slam,0,4
Marco Cecchinato,Non-Grand Slam,0.4782608695652174,23
Marco Cecchinato,Grand Slam,0,3
Marcos Giron,Non-Grand Slam,0.45652173913043476,46
Marcos Giron,Grand Slam,0.42857142857142855,7
Marton Fucsovics,Non-Grand Slam,0.47058823529411764,34
Marton Fucsovics,Grand Slam,0.6,10
Matteo Arnaldi,Non-Grand Slam,0.5714285714285714,28
Matteo Arnaldi,Grand Slam,0.5714285714285714,7
Matteo Berrettini,Non-Grand Slam,0.47058823529411764,17
Matteo Berrettini,Grand Slam,0.5714285714285714,7
Max Purcell,Non-Grand Slam,0.36,25
Max Purcell,Grand Slam,0.2,5
Maxime Cressy,Non-Grand Slam,0.32,25
Maxime Cressy,Grand Slam,0.25,4
Maximilian Marterer,Non-Grand Slam,0.5833333333333334,12
Maximilian Marterer,Grand Slam,0.6666666666666666,3
Michael Mmoh,Non-Grand Slam,0.5714285714285714,14
Michael Mmoh,Grand Slam,0.5555555555555556,9
Mikael Ymer,Non-Grand Slam,0.45454545454545453,22
Mikael Ymer,Grand Slam,0.4,5
Miomir Kecmanovic,Non-Grand Slam,0.5094339622641509,53
Miomir Kecmanovic,Grand Slam,0,4
Nicolas Jarry,Non-Grand Slam,0.6595744680851063,47
Nicolas Jarry,Grand Slam,0.6666666666666666,12
Novak Djokovic,Non-Grand Slam,0.8285714285714286,35
Novak Djokovic,Grand Slam,0.9642857142857143,28
Nuno Borges,Non-Grand Slam,0.36363636363636365,22
Nuno Borges,Grand Slam,0.2,5
Oscar Otte,Non-Grand Slam,0.3125,16
Oscar Otte,Grand Slam,0.25,4
Pavel Kotov,Non-Grand Slam,0.5714285714285714,28
Pavel Kotov,Grand Slam,0,2
Pedro Cachin,Non-Grand Slam,0.4375,32
Pedro Cachin,Grand Slam,0.2,5
Pedro Martinez,Non-Grand Slam,0.2857142857142857,14
Pedro Martinez,Grand Slam,0,2
Quentin Halys,Non-Grand Slam,0.48148148148148145,27
Quentin Halys,Grand Slam,0.3333333333333333,6
Radu Albot,Non-Grand Slam,0.4,15
Radu Albot,Grand Slam,0.25,4
Richard Gasquet,Non-Grand Slam,0.4166666666666667,36
Richard Gasquet,Grand Slam,0,4
Rinky Hijikata,Non-Grand Slam,0.4375,16
Rinky Hijikata,Grand Slam,0.6666666666666666,6
Roberto Bautista Agut,Non-Grand Slam,0.41935483870967744,31
Roberto Bautista Agut,Grand Slam,0.5714285714285714,7
Roberto Carballes Baena,Non-Grand Slam,0.4444444444444444,36
Roberto Carballes Baena,Grand Slam,0.42857142857142855,7
Roman Safiullin,Non-Grand Slam,0.4838709677419355,31
Roman Safiullin,Grand Slam,0.625,8
Sebastian Baez,Non-Grand Slam,0.5686274509803921,51
Sebastian Baez,Grand Slam,0.3333333333333333,6
Sebastian Korda,Non-Grand Slam,0.6176470588235294,34
Sebastian Korda,Grand Slam,0.5555555555555556,9
Sebastian Ofner,Non-Grand Slam,0.45,20
Sebastian Ofner,Grand Slam,0.5714285714285714,7
Soon Woo Kwon,Non-Grand Slam,0.5,14
Soon Woo Kwon,Grand Slam,0,2
Stan Wawrinka,Non-Grand Slam,0.5365853658536586,41
Stan Wawrinka,Grand Slam,0.5555555555555556,9
Stefanos Tsitsipas,Non-Grand Slam,0.6428571428571429,56
Stefanos Tsitsipas,Grand Slam,0.7777777777777778,18
Tallon Griekspoor,Non-Grand Slam,0.6181818181818182,55
Tallon Griekspoor,Grand Slam,0.42857142857142855,7
Taro Daniel,Non-Grand Slam,0.42857142857142855,21
Taro Daniel,Grand Slam,0.3333333333333333,6
Taylor Fritz,Non-Grand Slam,0.6923076923076923,65
Taylor Fritz,Grand Slam,0.6666666666666666,12
Thanasi Kokkinakis,Non-Grand Slam,0.5,26
Thanasi Kokkinakis,Grand Slam,0.5,6
Thiago Monteiro,Non-Grand Slam,0.391304347826087,23
Thiago Monteiro,Grand Slam,0,3
Thiago Seyboth Wild,Non-Grand Slam,0.2857142857142857,7
Thiago Seyboth Wild,Grand Slam,0.6666666666666666,3
Tomas Machac,Non-Grand Slam,0.5714285714285714,14
Tomas Machac,Grand Slam,0,2
Tomas Martin Etcheverry,Non-Grand Slam,0.5,46
Tomas Martin Etcheverry,Grand Slam,0.6363636363636364,11
Tommy Paul,Non-Grand Slam,0.5660377358490566,53
Tommy Paul,Grand Slam,0.7333333333333333,15
Ugo Humbert,Non-Grand Slam,0.6,50
Ugo Humbert,Grand Slam,0.42857142857142855,7
Yannick Hanfmann,Non-Grand Slam,0.55,40
Yannick Hanfmann,Grand Slam,0.2,5
Yibing Wu,Non-Grand Slam,0.5217391304347826,23
Yibing Wu,Grand Slam,0.2,5
Yoshihito Nishioka,Non-Grand Slam,0.45161290322580644,31
Yoshihito Nishioka,Grand Slam,0.6,10
Yosuke Watanuki,Non-Grand Slam,0.42857142857142855,14
Yosuke Watanuki,Grand Slam,0.4,5
Zhizhen Zhang,Non-Grand Slam,0.5357142857142857,28
Zhizhen Zhang,Grand Slam,0.5,8
Zizou Bergs,Non-Grand Slam,0.2727272727272727,11
Zizou Bergs,Grand Slam,0,1
